"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese",
"STR_BC_DesertTechSRSA2_Suppressor__N","Desert Tech SRS-A2 .338 Suppressor","Desert Tech SRS-A2 .338 Suppressor","Desert Tech SRS-A2 .338 Dodavatel","Desert Tech SRS-A2 .338 Unterdrücker","Пустынная техника SRS-A2.338 Suppressor","Desert Tech SRS- A2 .338 Supressor","Desert Tech SRS- A2. 338 Szállítók","Desert Tech SRS-A2 .338 Suppressor","Desert Tech SRS-A2 Suppressor","Désert Tech SRS-A2 .338 Suppresseur","沙漠技术 SRS-A2 338","デザートテックSRS-A2 .338サプレッサー","Desert Tech SRS-A2 .338 Supressor",
"STR_BC_DesertTechSRSA2_Suppressor__D","Fits on most of the .338 Weapons","Fits on most of the .338 Weapons","Sedí na většinu zbraní .338","Passt auf die meisten der .338 Waffen","Боевая часть .338","Pasuje do większości broni .338","Illik a legtöbb .338-as fegyverhez.","Si adatta alla maggior parte delle armi .338","Fits on most of the .338 Weapons","Convient à la plupart des .338 armes","适合338件武器的大部分",".338武器のほとんどに収まる","Encaixa na maioria das armas .338",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_GEVAR338_Suppressor_N","Gevar .338 Suppressor","Gevar .338 Suppressor","Gevar .338 Dodavatel","Gevar .338 Unterdrücker","Гевар .338 Подавитель","Gevar .338 Supressor","Gevar. 338-as adagoló","Gevar .338 Suppressor","Gevar .338 Suppressor","Suppresseur Gevar .338","Gevar 338 销毁剂","Gevar .338 サプレッサー","Gevar .338 Supressor",
"STR_BC_GEVAR338_Suppressor_N_D","Fits on most of the .338 Weapons","Fits on most of the .338 Weapons","Sedí na většinu zbraní .338","Passt auf die meisten der .338 Waffen","Боевая часть .338","Pasuje do większości broni .338","Illik a legtöbb .338-as fegyverhez.","Si adatta alla maggior parte delle armi .338","Fits on most of the .338 Weapons","Convient à la plupart des .338 armes","适合338件武器的大部分",".338武器のほとんどに収まる","Encaixa na maioria das armas .338",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_BarrettM107A1_Suppressor_N","Barrett M107 .50 Suppressor","Barrett M107 .50 Suppressor","Barrett M107 .50 Dodavatel","Barrett M107.50 Suppressor","Барретт М107.50 Подавитель","Barrett M107. 50 Supressor","Barrett M107 .50 Szállító","Barrett M107 .50 Suppressor","Barrett M107 .50","Barrett M107 .50 Suppresseur","巴雷特 M107.50 销毁剂","Barrett M107 .50 抑制剤","Barrett M107 .50 Supressor",
"STR_BC_BarrettM107A1_Suppressor_D","Fits on most of the .50 Cal Snipers","Fits on most of the .50 Cal Snipers","Hodí se na většinu Cal odstřelovačů.","Passt auf die meisten .50 Cal Snipers","Снайперы .50 Cal Snipers","Pasuje do większości snajperów kalibru .50","A legtöbb 50-es kaliberű mesterlövészre illik.","Si adatta alla maggior parte dei cecchini .50 Cal","Fits en la mayoría de los .50 Cal Snipers","Convient à la plupart des snipers Cal .50","适合大多数50 Cal狙击手",".50 Calスニッカーのほとんどに収まる","Se encaixa na maioria dos .50 Cal Snipers",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_VictrixCorvoCS_Suppressor_N","Victrix Corvo C.S. .50 Suppressor","Victrix Corvo C.S. .50 Suppressor","Victrix Corvo C.S. .50 Dodavatel","Victrix Corvo C.S. .50 Unterdrücker","Victrix Corvo C.S. Подавитель 50","Victrix Corvo C.S. .50 Supressor","Victrix Corvo C.S. 50 Szállító","Victrix Corvo C.S. .50 Suppressor","Victrix Corvo C.S. 50 Suppressor","Victrix Corvo C.S. 50 Suppresseur","Victrix Corvo C.S. 50 抑制剂","VictrixのCorvo C.S.50の抑制剤","Victrix Corvo C.S. .50 Supressor",
"STR_BC_VictrixCorvoCS_Suppressor_D,Fits on most of the .50 Cal Snipers""","Fits on most of the .50 Cal Snipers","","Hodí se na většinu Cal odstřelovačů.","Passt auf die meisten .50 Cal Snipers","Снайперы .50 Cal Snipers","Pasuje do większości snajperów kalibru .50","A legtöbb 50-es kaliberű mesterlövészre illik.","Si adatta alla maggior parte dei cecchini .50 Cal","Fits en la mayoría de los .50 Cal Snipers","Convient à la plupart des snipers Cal .50","适合大多数50 Cal狙击手",".50 Calスニッカーのほとんどに収まる","Se encaixa na maioria dos .50 Cal Snipers",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_VSK94_Suppressor_N","VSK-94 Suppressor","VSK-94 Suppressor","VSK-94 Dodavatel","VSK-94 Unterdrücker","ВСК-94 Подавитель","VSK- 94 Supressor","VSK- 94","VSK-94 Suppressor","Suppressor VSK-94","VSK-94 Suppresseur","VSK-94 抑制剂","VSK-94 サプレッサー","VSK- 94 Supressor",
"STR_BC_VSK94_Suppressor_D","Fits on most ak based rifles","Fits on most ak based rifles","Sedí na většinu akových pušek","Passend für die meisten akbasierten Gewehre","Подходит для большинства винтовок на основе AK","Pasuje do większości karabinów na bazie atramentu","Illik a legtöbb ak alapú puskához","Si adatta alla maggior parte dei fucili a base di ak","Fits on most ak based rifles","Convient à la plupart des fusils à base d'encre","适合大多数AK步枪","ほとんどの ak ベースのライフルに合います","Encaixa na maioria das espingardas à base de ak",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_FNFiveSeven_N","FN Five-Seven","FN Five-Seven","FN 5-7","FN Five-Seven","FN Five-Seven","FN Pięć - Siedem","FN 5-7","FN 5-Seven","FN Five-Seven","Cinq-Sept FN","新军五七","FNファイブセブン","FN Cinco-Sete",
"STR_BC_FNFiveSeven_N_B","FN Five-Seven | Black","FN Five-Seven | Black","FN Five- Sedm 124; černá","FN Five-Seven | Schwarz","FN Five-Seven (Черный)","FN Five-Seven Budget 124; Black","FN Five- Seven","FN 5-Seven | Nero","FN Five-Seven   Black","FN Cinq-Sept.","新军五七队 黑队","FNファイブセブン | ブラック","FN Five-Seven Preto",
"STR_BC_FNFiveSeven_N_T","FN Five-Seven | Tan","FN Five-Seven | Tan","FN Five- Sedm 124; Tan","FN Five-Seven | Tan","FN Five-Seven — Тан","FN Five-Seven Xion124; Tan","FN-5-7","FN 5-Seven | Tan","FN Five-Seven tención Tan","FN Cinq-Seven","FN""五·七""谭","FNファイブセブン | タン","FN Five-Seven Tan",
"STR_BC_FNFiveSeven_D","The Five-seven is a semi-automatic delayed blowback pistol chambered for FN's 5.7×28mm ammunition. The pistol has a concealed hammer. Polymer materials are used extensively in the pistol's design, and even the steel slide is encased in a polymer shell. This provides reduced weight and greater resistance to corrosion.","The Five-seven is a semi-automatic delayed blowback pistol chambered for FN's 5.7×28mm ammunition. The pistol has a concealed hammer. Polymer materials are used extensively in the pistol's design, and even the steel slide is encased in a polymer shell. This provides reduced weight and greater resistance to corrosion.","Pětka-sedmička je poloautomatická odkládací pistole chráněná pro munici FN 5,7 × 28mm. Pistole má skryté kladivo. Materiály z polymerů jsou v konstrukci pistole extenzivně používány a dokonce i ocelová skluzavka je zapouzdřena v polymerní skořápce. To zajišťuje sníženou hmotnost a větší odolnost proti korozi.","Die Fünfsiebe ist eine halbautomatische, verzögerte Blaspistole, die für die 5.7×28mm Munition von FN gekammert ist. Die Pistole hat einen versteckten Hammer. Polymermaterialien werden im Design der Pistole weitgehend eingesetzt und sogar der Stahlschieber in einer Polymerhülle umhüllt. Dadurch wird ein geringeres Gewicht und eine höhere Korrosionsbeständigkeit erreicht.","Five-seven - полуавтоматический пистолет замедленной отдачи, предназначенный для боеприпасов FN калибра 5,7×28 мм. Пистолет имеет скрытый молоток. Полимерные материалы широко используются в конструкции пистолета, и даже стальная горка заключена в полимерную оболочку. Это обеспечивает меньший вес и большую устойчивость к коррозии.","Pięcioro-siedem to półautomatyczny, opóźniony pistolet odpychający do amunicji 5.7 × 28mm FN. Pistolet ma ukryty młotek. Materiały polimerowe są szeroko stosowane w konstrukcji pistoletu, a nawet stalowy zjeżdżalnia jest pokryta powłoką polimerową. Zapewnia to mniejszą wagę i większą odporność na korozję.","Az 5-7 egy félautomata késleltetett puskacső, ami az FN 5,7 × 28mm-es lőszerét használja. A pisztolynak van egy rejtett kalapácsa. A polimer anyagokat széles körben használják a pisztoly kialakításában, és még az acélcsúszda is egy polimer héjba van burkolva. Ez csökkenti a súlyt és nagyobb ellenállást biztosít a korrózióval szemben.","Il Five-seven è una pistola semiautomatica ritardata per munizioni da 5,7×28 mm. La pistola ha un martello nascosto. I materiali polimerici sono ampiamente utilizzati nel design della pistola, e anche la diapositiva in acciaio è racchiusa in un guscio di polimero. Questo fornisce un peso ridotto e una maggiore resistenza alla corrosione.","El Cinco-siete es una pistola semiautomática retardada de volteo en la munición 5.7×28mm de FN. La pistola tiene un martillo oculto. Los materiales de polímero se utilizan ampliamente en el diseño de la pistola, e incluso la diapositiva de acero está encaída en una cáscara de polímero. Esto proporciona menor peso y mayor resistencia a la corrosión.","Le Five-sept est un pistolet semi-automatique retardé à dos soufflé pour les munitions de FN 5.7×28mm. Le pistolet a un marteau caché. Les matériaux polymère sont largement utilisés dans la conception du pistolet, et même la lame en acier est encastrée dans une enveloppe en polymère. Cela réduit le poids et accroît la résistance à la corrosion.","""五七""是一款半自动延迟回击手枪,为新军5.7×28毫米弹药所装. 手枪有一个隐藏的锤子。 聚物材料被广泛用在了手枪的设计上,甚至钢滑被包裹在聚合物外壳中. 这提供了减重和更强的抗腐蚀性.","FNの5.7×28mmの弾薬のための半自動遅れのブローバックのピストルです。 ピストルは隠されたハンマーを持っています。 ポリマー材料はピストルの設計で広く使用され、さらにはポリマーシェルにスチールスライドが充填されています。 これにより、重量を削減し、耐食性が向上します。","O Five-seven é uma pistola semi-automática de retorno atrasado com câmara de munição FN 5.7 × 28mm. A pistola tem um martelo escondido. Os materiais polímeros são usados extensivamente no projeto da pistola, e até mesmo a lâmina de aço é envolto em uma casca de polímero. Isso proporciona peso reduzido e maior resistência à corrosão.",
"STR_BC_FNFiveSeven_Magazine_N","20rd Five Seven Magazine","20rd Five Seven Magazine","20rd 5. 7 magazín","20. Fünf sieben Zeitschrift","20-й журнал Five Seven","20rd Five Seven Magazine","20rd Five Seven Magazine","20o Cinque Sette Magazine","20rd Five Seven Magazine","20e magazine des Cinq Sept","第二十五七杂志.","第20回ファイブセブンマガジン","Revista 20a Cinco Sete",
"STR_BC_FNFiveSeven_Magazine_D","20 Round magazine for the 5.7 Five Seven Pistol","20 Round magazine for the 5.7 Five Seven Pistol","20 Round magazín pro 5.7 Pět sedm Pistole","20 Rundes Magazin für die 5.7 Five Seven Pistol","Журнал 20 Round для 5.7 Five Seven Pistol","20 Okrągły magazyn dla 5.7 Pięć Siedem Pistolet","20 Kerekes magazin az 5.7-es Five Seven Pistolhoz","20 Round magazine per i 5,7 Cinque Sette Pistol","20 Revista redonda para el 5.7 Cinco Siete Pistol","20 Round magazine pour le 5.7 Cinq Sept Pistol","20个五七活塞杂志","20 5.7ファイブセブンピストルのラウンドマガジン","20 Revista redonda para o 5.7 Cinco Sete Pistol",
"NOTHING_NOTHING_NOTHING","","","","","","","","","","","","","",
"STR_BC_HK416D_N","HK-416D","HK-416D","HK-416D","HK-416D","HK-416D","HK-416D","HK-416D","HK-416D","HK-416D","HK-416D","HK-416D","HK-416D","HK-416D",
"STR_BC_HK416D_N_B","HK-416D | Black","HK-416D | Black","HK-416D | Černá","HK-416D | Schwarz","HK-416D | Черный","HK-416D | Czarny","HK-416D | Fekete","HK-416D | Nero","HK-416D | Negro","HK-416D | Noir","HK-416D | 黑色","HK-416D | ブラック","HK-416D | Preto",
"STR_BC_HK416D_D","The HK416D is a highly reliable, gas-piston-operated assault rifle from Heckler & Koch (HK) that replaces the AR-15's direct impingement system, offering superior performance in harsh conditions with features like a cold hammer-forged barrel, full-length Picatinny rail, and ambidextrous controls, making it a favorite for special forces and popular in airsoft as a realistic training replica. The 'D' signifies its 'Demontierbar' (detachable) quick-change barrel, enhancing versatility, while licensed .22LR versions from Umarex mimic its look and feel for affordable training.","The HK416D is a highly reliable, gas-piston-operated assault rifle from Heckler & Koch (HK) that replaces the AR-15's direct impingement system, offering superior performance in harsh conditions with features like a cold hammer-forged barrel, full-length Picatinny rail, and ambidextrous controls, making it a favorite for special forces and popular in airsoft as a realistic training replica. The 'D' signifies its 'Demontierbar' (detachable) quick-change barrel, enhancing versatility, while licensed .22LR versions from Umarex mimic its look and feel for affordable training.","HK416D je vysoce spolehlivá útočná puška s plynovým pístem od Heckler & Koch (HK), která nahrazuje přímé odběrné ústrojí AR-15 a nabízí lepší výkon v náročných podmínkách. Má například za studena kovaný hlaveň, celoplošnou lištu Picatinny a oboustranné ovládání, takže je oblíbená u speciálních jednotek a v airsoftu jako realistická tréninková replika. Označení „D“ znamená „Demontierbar“ (demontovatelná) rychlovýměnná hlaveň, která zvyšuje univerzálnost, a licencované verze .22LR od Umarexu napodobují její vzhled a ovládání pro cenově dostupný trénink.","Die HK416D ist ein äußerst zuverlässiges, gas-pistonbetriebenes Sturmgewehr von Heckler & Koch (HK), das das Direct-Impingement-System der AR-15 ersetzt und unter harten Bedingungen eine überlegene Leistung bietet. Zu den Merkmalen gehören ein kaltgehämmerter Lauf, eine durchgehende Picatinny-Schiene und beidseitige Bedienelemente, weshalb sie bei Spezialeinheiten beliebt ist und im Airsoft als realistische Trainingsreplik verbreitet ist. Das „D“ steht für „Demontierbar“ (abnehmbar) und bezeichnet den schnell wechselbaren Lauf, der die Vielseitigkeit erhöht; lizenzierte .22LR-Versionen von Umarex ahmen Aussehen und Handling für kostengünstiges Training nach.","HK416D — это очень надежная штурмовая винтовка с газовым поршнем производства Heckler & Koch (HK), которая заменяет систему прямого отвода газов AR-15 и обеспечивает более высокую эффективность в тяжелых условиях. Она оснащается, например, холоднокованым стволом, полноразмерной планкой Пикатинни и двусторонними органами управления, поэтому любима спецподразделениями и популярна в страйкболе как реалистичная учебная реплика. Буква «D» означает «Demontierbar» (съемный) и указывает на быстросменный ствол, повышающий универсальность; лицензированные версии под .22LR от Umarex повторяют внешний вид и ощущения для доступных тренировок.","HK416D to niezwykle niezawodny karabin szturmowy z tłokowym układem gazowym firmy Heckler & Koch (HK), który zastępuje w AR-15 system bezpośredniego odprowadzania gazów (direct impingement) i zapewnia lepszą pracę w trudnych warunkach. Ma m.in. lufę kutą na zimno, pełną szynę Picatinny oraz obustronne manipulatory, dzięki czemu jest ulubieńcem jednostek specjalnych i popularną repliką treningową w airsofcie. Litera „D” oznacza „Demontierbar” (demontowalny) szybkomienny system lufy, zwiększający wszechstronność, a licencjonowane wersje .22LR od Umarex odwzorowują wygląd i wrażenia dla tańszego szkolenia.","Az HK416D egy rendkívül megbízható, gázdugattyús működésű rohampuska a Heckler & Kochtól (HK), amely az AR-15 közvetlen gázvisszavezetéses (direct impingement) rendszerét váltja ki, és zord körülmények között is jobb teljesítményt nyújt. Jellemzői közé tartozik a hidegen kovácsolt cső, a teljes hosszúságú Picatinny sín és a kétkezes kezelőszervek, ezért a különleges műveleti erők kedvence, és az airsoftban is népszerű, mint élethű kiképző replika. A „D” a „Demontierbar” (levehető) gyorscsere csövet jelöli, ami növeli a sokoldalúságot; az Umarex licencelt .22LR változatai pedig olcsóbb gyakorláshoz utánozzák a kinézetet és a kezelhetőséget.","La HK416D è un fucile d’assalto altamente affidabile, a pistone a gas, prodotto da Heckler & Koch (HK), che sostituisce il sistema a presa diretta (direct impingement) dell’AR-15, offrendo prestazioni superiori in condizioni difficili. Tra le caratteristiche figurano una canna forgiata a martello a freddo, una lunga slitta Picatinny a tutta lunghezza e comandi ambidestri, che la rendono una scelta amata dalle forze speciali e popolare nell’airsoft come replica realistica per l’addestramento. La “D” indica “Demontierbar” (smontabile) e si riferisce alla canna a cambio rapido, che aumenta la versatilità; le versioni .22LR con licenza Umarex ne imitano aspetto e sensazioni per un addestramento più economico.","El HK416D es un fusil de asalto muy fiable, de funcionamiento por pistón de gas, de Heckler & Koch (HK), que sustituye el sistema de toma directa (direct impingement) del AR-15, ofreciendo un rendimiento superior en condiciones duras. Entre sus características se incluyen un cañón forjado en frío a martillo, un raíl Picatinny de longitud completa y mandos ambidiestros, lo que lo convierte en un favorito de las fuerzas especiales y en el airsoft como réplica de entrenamiento realista. La “D” significa “Demontierbar” (desmontable) y hace referencia al cañón de cambio rápido, aumentando la versatilidad; las versiones .22LR con licencia de Umarex imitan su aspecto y manejo para un entrenamiento asequible.","Le HK416D est un fusil d’assaut très fiable, à piston à gaz, de Heckler & Koch (HK), qui remplace le système à emprunt de gaz direct (direct impingement) de l’AR-15, offrant de meilleures performances dans des conditions difficiles. Il dispose notamment d’un canon martelé à froid, d’un long rail Picatinny pleine longueur et de commandes ambidextres, ce qui en fait un favori des forces spéciales et une réplique d’entraînement réaliste très populaire en airsoft. Le « D » signifie « Demontierbar » (démontable) et renvoie au canon à changement rapide, améliorant la polyvalence ; des versions .22LR sous licence Umarex reproduisent son apparence et sa prise en main pour un entraînement abordable.","HK416D 是一款由黑克勒-科赫（Heckler & Koch，HK）生产、采用导气活塞机构的高可靠性突击步枪，取代了 AR-15 的直接导气（direct impingement）系统，在严苛环境下表现更出色。它配备冷锤锻枪管、全长皮卡汀尼导轨以及左右手通用的操控件，因此深受特种部队青睐，也在气软（airsoft）领域作为逼真的训练复制品而广受欢迎。“D” 代表 “Demontierbar”（可拆卸），指其快拆/快换枪管设计，提升了通用性；由 Umarex 授权的 .22LR 版本则以更低成本模拟其外观与手感，用于训练。","HK416Dは、Heckler & Koch（HK）製の非常に信頼性の高いガスピストン方式のアサルトライフルで、AR-15のダイレクトインピンジメント方式を置き換え、過酷な環境でも優れた性能を発揮します。冷間鍛造バレル、フルレングスのピカティニー・レール、左右両用の操作系などの特徴を備え、特殊部隊に好まれるほか、エアソフトではリアルな訓練用レプリカとして人気があります。『D』は「Demontierbar（着脱可能）」を意味し、クイックチェンジ（交換）バレルにより汎用性が向上します。また、Umarexのライセンスによる.22LR版は、手頃な訓練向けに外観と操作感を再現しています。","O HK416D é um fuzil de assalto altamente confiável, com funcionamento a pistão de gás, da Heckler & Koch (HK), que substitui o sistema de ação direta (direct impingement) do AR-15, oferecendo desempenho superior em condições adversas. Entre os recursos estão o cano forjado a martelo a frio, trilho Picatinny em toda a extensão e controles ambidestros, o que o torna um favorito de forças especiais e, no airsoft, uma réplica de treinamento realista. O “D” significa “Demontierbar” (destacável) e indica o cano de troca rápida, aumentando a versatilidade; versões licenciadas em .22LR da Umarex imitam o visual e a pegada para um treinamento mais acessível.",
